ID,Remark/Description
1004,AFGHANISTAN
1008,ALBANIA
1012,ALGERIA
1016,AMERICAN SAMOA
1020,ANDORRA
1024,ANGOLA
1028,ANTIGUA AND BARBUDA
1031,AZERBAIJAN
1032,ARGENTINA
1036,AUSTRALIA
1040,AUSTRIA
1044,BAHAMAS
1048,BAHRAIN
1050,BANGLADESH
1051,ARMENIA
1052,BARBADOS
1056,BELGIUM
1060,BERMUDA
1064,BHUTAN
1068,BOLIVIA
1070,BOSNIA AND HERZEGOVINA
1072,BOTSWANA
1076,BRAZIL
1084,BELIZE
1090,SOLOMON ISLANDS
1092,"VIRGIN ISLANDS, BRITISH"
1096,BRUNEI DARUSSALAM
1100,BULGARIA
1104,MYANMAR (formerly Burma)
1108,BURUNDI
1112,BELARUS
1116,CAMBODIA
1120,CAMEROON
1124,CANADA
1132,CAPE VERDE
1136,CAYMAN ISLANDS
1140,CENTRAL AFRICAN REPUBLIC
1144,SRI LANKA (formerly Ceylon)
1148,CHAD (Tchad)
1152,CHILE
1156,CHINA
1158,TAIWAN (Chinese Taipei for IOC)
1170,COLOMBIA
1174,COMOROS
1175,MAYOTTE
1178,"CONGO, REPUBLIC OF"
1180,"CONGO, THE DEMOCRATIC REPUBLIC OF THE (formerly Zaire)"
1184,COOK ISLANDS
1188,COSTA RICA
1191,CROATIA (Hrvatska)
1192,CUBA
1196,CYPRUS
1203,CZECH REPUBLIC
1204,BENIN
1208,DENMARK
1212,DOMINICA
1214,DOMINICAN REPUBLIC
1218,ECUADOR
1222,EL SALVADOR
1226,EQUATORIAL GUINEA
1231,ETHIOPIA
1232,ERITREA
1233,ESTONIA
1234,FAEROE ISLANDS
1238,FALKLAND ISLANDS (MALVINAS)
1242,FIJI
1246,FINLAND
1250,FRANCE
1251,ENGLAND
1254,FRENCH GUIANA
1258,FRENCH POLYNESIA
1262,DJIBOUTI
1266,GABON
1270,"GAMBIA, THE"
1275,PALESTINIAN TERRITORIES
1276,GERMANY (Deutschland)
1288,GHANA
1292,GIBRALTAR
1296,KIRIBATI
1300,GREECE
1304,GREENLAND
1308,GRENADA
1312,GUADELOUPE
1316,GUAM
1320,GUATEMALA
1324,GUINEA
1328,GUYANA
1332,HAITI
1336,VATICAN CITY (Holy See)
1340,HONDURAS
1344,HONG KONG (Special Administrative Region of China)
1348,HUNGARY
1352,ICELAND
1356,INDIA
1360,INDONESIA
1364,IRAN (Islamic Republic of Iran)
1368,IRAQ
1372,IRELAND
1376,ISRAEL
1380,ITALY
1384,COTE D'IVOIRE (Ivory Coast)
1388,JAMAICA
1392,JAPAN
1398,KAZAKHSTAN
1400,JORDAN (Hashemite Kingdom of Jordan)
1404,KENYA
1408,KOREA (Democratic Peoples Republic of [North] Korea)
1410,KOREA (Republic of [South] Korea)
1414,KUWAIT
1417,KYRGYZSTAN
1418,LAO PEOPLE'S DEMOCRATIC REPUBLIC
1422,LEBANON
1426,LESOTHO
1428,LATVIA
1430,LIBERIA
1434,LIBYA (Libyan Arab Jamahirya)
1438,LIECHTENSTEIN (F¨¹rstentum Liechtenstein)
1440,LITHUANIA
1442,LUXEMBOURG
1446,MACAO (Special Administrative Region of China)
1450,MADAGASCAR
1454,MALAWI
1458,MALAYSIA
1462,MALDIVES
1466,MALI
1470,MALTA
1474,MARTINIQUE
1478,MAURITANIA
1480,MAURITIUS
1484,MEXICO
1492,MONACO
1496,MONGOLIA
1498,MOLDOVA
1499,MONTENEGRO
1500,MONTSERRAT
1504,MOROCCO
1508,MOZAMBIQUE
1512,OMAN
1516,NAMIBIA
1520,NAURU
1524,NEPAL
1528,NETHERLANDS
1530,NETHERLANDS ANTILLES
1533,ARUBA
1540,NEW CALEDONIA
1548,VANUATU
1554,NEW ZEALAND
1558,NICARAGUA
1562,NIGER
1566,NIGERIA
1570,NIUE
1578,NORWAY
1580,NORTHERN MARIANA ISLANDS
1583,MICRONESIA (Federated States of Micronesia)
1584,MARSHALL ISLANDS
1585,PALAU
1586,PAKISTAN
1591,PANAMA
1598,PAPUA NEW GUINEA
1600,PARAGUAY
1604,PERU
1608,PHILIPPINES
1616,POLAND
1620,PORTUGAL
1624,GUINEA-BISSAU
1626,TIMOR-LESTE (formerly East Timor)
1630,PUERTO RICO
1634,QATAR
1638,RéUNION
1642,ROMANIA
1643,RUSSIAN FEDERATION
1646,RWANDA
1654,SAINT HELENA
1659,SAINT KITTS AND NEVIS
1660,ANGUILLA
1662,SAINT LUCIA
1666,SAINT PIERRE AND MIQUELON
1670,SAINT VINCENT AND THE GRENADINES
1674,SAN MARINO (Republic of)
1678,SAO TOME AND PRINCIPE
1682,SAUDI ARABIA (Kingdom of Saudi Arabia)
1686,SENEGAL
1688,SERBIA (Republic of Serbia)
1690,SEYCHELLES
1694,SIERRA LEONE
1702,SINGAPORE
1703,SLOVAKIA (Slovak Republic)
1704,VIET NAM
1705,SLOVENIA
1706,SOMALIA
1710,SOUTH AFRICA (Zuid Afrika)
1716,ZIMBABWE
1724,SPAIN (Espana)
1736,SUDAN
1740,SURINAME
1748,SWAZILAND
1752,SWEDEN
1756,SWITZERLAND (Confederation of Helvetia)
1760,SYRIAN ARAB REPUBLIC
1762,TAJIKISTAN
1764,THAILAND
1768,TOGO
1772,TOKELAU
1776,TONGA
1780,TRINIDAD AND TOBAGO
1784,UNITED ARAB EMIRATES
1788,TUNISIA
1792,TURKEY
1795,TURKMENISTAN
1796,TURKS AND CAICOS ISLANDS
1798,TUVALU
1800,UGANDA
1804,UKRAINE
1807,MACEDONIA (Former Yugoslav Republic of Macedonia)
1818,EGYPT
1826,UNITED KINGDOM (Great Britain)
1834,TANZANIA
1840,UNITED STATES
1850,"VIRGIN ISLANDS, U.S."
1854,BURKINA FASO
1858,URUGUAY
1860,UZBEKISTAN
1862,VENEZUELA
1876,WALLIS AND FUTUNA
1882,SAMOA (formerly Western Samoa)
1887,YEMEN (Yemen Arab Republic)
1894,ZAMBIA (formerly Northern Rhodesia)
1895,Non-Malaysian
